name,type,condition,accuracy
kh29_corners,trial_corners_forced,13,0.9034090909090909
kh30_corners,trial_corners_forced,13,0.7482993197278912
kh31_corners,trial_corners_forced,13,0.8780487804878049
kh33_corners,trial_corners_forced,13,0.8366013071895425
kh34_corners,trial_corners_forced,13,0.8571428571428571
kh35_corners,trial_corners_forced,13,0.8294117647058824
kh36_corners,trial_corners_forced,13,0.8908045977011494
kh37_corners,trial_corners_forced,13,0.7872340425531915
kh48_corners,trial_corners_forced,13,0.8245614035087719
kh49_corners,trial_corners_forced,13,0.7777777777777778
kh50_corners,trial_corners_forced,13,0.5764705882352941
kh51_corners,trial_corners_forced,13,0.6666666666666666
kh52_corners,trial_corners_forced,13,0.8055555555555556
laurilab,trial_corners_forced,13,0.7873563218390804
otto,trial_corners_forced,13,0.8895027624309392
Samuel,trial_corners_forced,13,0.86
teemu,trial_corners_forced,13,0.7254901960784313
tero_eta,trial_corners_forced,13,0.8928571428571429
